Participant_ID,Gender,ET_GazeLeftx_mean,ET_GazeLefty_mean,ET_GazeRightx_mean,ET_GazeRighty_mean,ET_PupilLeft_mean,ET_PupilRight_mean,ET_TimeSignal_mean,ET_DistanceLeft_mean,ET_DistanceRight_mean,ET_CameraLeftX_mean,ET_CameraLeftY_mean,ET_CameraRightX_mean,ET_CameraRightY_mean,ET_ValidityLeft_mean,ET_ValidityRight_mean
1,Male,811.0432441,504.2364705,848.8307262,535.0440615,0.149076991,0.248870787,405248.445,530.4380461,539.3841409,0.462192202,0.358579803,0.348432568,0.389330603,0.349708142,0.260762111
2,Female,808.7039786,445.2051194,814.3481215,472.1213513,0.24026335,0.311496252,472650.7173,575.2650541,589.0029234,0.44285151,0.409501795,0.345586222,0.441249305,0.303368162,0.196032025
3,Female,928.0150723,503.6439591,953.1885689,531.4090897,0.619464148,0.513642197,925945.8945,602.2788965,602.3806504,0.527250735,0.409444724,0.383082758,0.413381506,0.116279804,0.111155725
4,Female,715.4042405,379.815455,684.3900504,385.6422732,0.242026074,0.155277847,553660.9738,605.2514365,553.3544816,0.223472356,0.191144935,0.05127097,0.12499295,0.765054278,0.938085979
5,Female,778.2750331,485.9762679,802.3277041,494.2531195,0.489219904,0.492041515,848819.4496,603.7039831,596.0232775,0.47491851,0.416056899,0.319405675,0.400076556,0.25790181,0.286317874
6,Male,182.7158709,99.34311981,535.5128246,337.5496189,-0.660619951,0.490465764,656864.1562,117.923491,448.5070392,-0.745439308,-0.758398215,-0.122754591,-0.09311162,3.347886889,1.53481295
7,Female,808.6753845,493.0537987,832.1912739,493.5393238,0.262410722,0.294868445,647082.1239,597.0823665,598.7679497,0.389387618,0.33880473,0.276376151,0.352542305,0.40910186,0.37222463
8,Male,819.0921859,470.8486054,817.5194788,517.1153728,0.72526747,0.795639046,390838.3957,629.2357381,647.5749251,0.475247437,0.442030332,0.364051782,0.483442658,0.212010935,0.097074759
9,Female,840.623895,479.8596914,884.4559411,517.0143286,0.235111333,0.360089866,669277.0799,552.0889974,559.9861083,0.442689011,0.463886855,0.333686592,0.507000463,0.254451,0.168628067
10,Male,769.1628571,492.7058361,803.5096538,501.7728255,0.066796641,0.578003456,588641.2535,563.4725378,582.3182293,0.423411689,0.322315181,0.333332726,0.37227781,0.451926133,0.322927397
11,Male,798.1262944,533.965561,841.6840185,543.1280385,0.2409512,0.224907773,758952.8365,449.7866642,463.9403463,0.331374317,0.285175053,0.231564159,0.347626468,0.593371802,0.414823334
12,Female,724.7957276,479.0607484,768.3675603,495.0889496,0.038002964,-0.087330593,664372.6839,474.1922708,464.1412572,0.375523997,0.383694368,0.214955149,0.344462245,0.464172676,0.563431491
