Participant_ID,Gender,GSR RAW_mean,GSR Resistance CAL_mean,GSR Conductance CAL_mean
1,Male,1411.650405,54.93896673,18.26287558
2,Female,18435.8399,143.7704499,6.990797309
3,Female,41129.19543,622.6993451,1.848665656
4,Female,47183.56929,716.0404809,1.401622697
5,Female,19077.17081,98.17130198,10.26494013
6,Male,35025.80767,438.2357833,2.308143111
7,Female,19356.52309,86.11861188,11.69109821
8,Male,1600.919558,29.88358819,33.47437019
9,Female,45150.93438,755.6276477,1.42309935
10,Male,50832.6465,1270.587639,0.824039904
11,Male,18504.05432,137.9249285,7.339047726
12,Female,1255.160592,47.99247676,20.87221736
13,Male,19576.88003,78.54103978,12.81607145
14,Male,18784.32765,114.5791157,8.769907989
15,Female,18056.56305,199.295245,5.054501133
16,Male,18661.1249,123.2397699,8.140929387
17,Male,1303.877803,44.19937924,22.64785241
18,Female,19256.80201,90.29960486,11.18199902
19,Male,18406.42412,147.1789147,6.840622918
20,Male,47809.47183,760.854838,1.335185589
21,Male,27212.81138,245.9088305,4.490307143
22,Female,17879.33862,73.82571067,13.86883174
23,Male,35128.37724,679.7663211,1.473048839
24,Male,35750.27627,533.3556717,1.952567701
25,Female,46922.39004,988.7864223,1.136423283
26,Female,18497.83418,138.4339489,7.307292474
27,Male,18406.96694,147.3850433,6.84339415
28,Male,18376.45551,159.7768984,6.68762625
29,Male,16454.32797,67.61516843,14.85554117
30,Female,18043.62651,201.6691222,4.988457107
31,Male,25609.25071,226.9657596,4.446785562
32,Male,51858.21706,1155.336018,0.898531273
33,Female,1166.576877,56.70442077,17.64353606
34,Male,35310.03116,376.6669562,2.724587776
35,Male,52437.49143,870.5114909,1.155729348
36,Female,20829.31048,153.4574997,8.062660909
37,Male,18313.69454,161.4308649,6.36721698
38,Female,35438.37943,356.4072989,2.912643848
