Participant_ID,Mean_Accuracy,Mean_ResponseTime,Gender,Delta_TP9_mean,Delta_AF7_mean,Delta_AF8_mean,Delta_TP10_mean,Theta_TP9_mean,Theta_AF7_mean,Theta_AF8_mean,Theta_TP10_mean,Alpha_TP9_mean,Alpha_AF7_mean,Alpha_AF8_mean,Alpha_TP10_mean,Beta_TP9_mean,Beta_AF7_mean,Beta_AF8_mean,Beta_TP10_mean,Gamma_TP9_mean,Gamma_AF7_mean,Gamma_AF8_mean,Gamma_TP10_mean,GSR RAW_mean,GSR Resistance CAL_mean,GSR Conductance CAL_mean,ET_GazeLeftx_mean,ET_GazeLefty_mean,ET_GazeRightx_mean,ET_GazeRighty_mean,ET_PupilLeft_mean,ET_PupilRight_mean,ET_TimeSignal_mean,ET_DistanceLeft_mean,ET_DistanceRight_mean,ET_CameraLeftX_mean,ET_CameraLeftY_mean,ET_CameraRightX_mean,ET_CameraRightY_mean,ET_ValidityLeft_mean,ET_ValidityRight_mean,Row_mean,SampleNumber_mean,Anger_mean,Contempt_mean,Disgust_mean,Fear_mean,Joy_mean,Sadness_mean,Surprise_mean,Engagement_mean,Valence_mean,Sentimentality_mean,Confusion_mean,Neutral_mean,Attention_mean,Brow Furrow_mean,Brow Raise_mean,Cheek Raise_mean,Chin Raise_mean,Dimpler_mean,Eye Closure_mean,Eye Widen_mean,Inner Brow Raise_mean,Jaw Drop_mean,Lip Corner Depressor_mean,Lip Press_mean,Lip Pucker_mean,Lip Stretch_mean,Lip Suck_mean,Lid Tighten_mean,Mouth Open_mean,Nose Wrinkle_mean,Smile_mean,Smirk_mean,Upper Lip Raise_mean,Blink_mean,BlinkRate_mean,Pitch_mean,Yaw_mean,Roll_mean,Interocular Distance_mean
2,0.666666667,17.24516974,Female,0.595641648,0.39811536,0.178195358,0.679702133,0.479195358,0.117618487,-0.069325619,0.491102737,0.717759995,0.24282717,0.133164475,0.695150899,0.429106622,0.127073216,0.278848818,0.402575224,0.115703797,-0.127390406,0.140365429,0.13110471,18435.8399,143.7704499,6.990797309,808.7039786,445.2051194,814.3481215,472.1213513,0.24026335,0.311496252,472650.7173,575.2650541,589.0029234,0.44285151,0.409501795,0.345586222,0.441249305,0.303368162,0.196032025,4787.121212,4782.121212,0.835288433,0.259537961,0.032820794,3.690315424,0.279663509,0.125125827,2.8180294,2.336731078,0.02715652,0.338011739,0.669889561,92.72555462,97.26816712,2.131153482,10.81544963,0.387449165,0.094710817,0.08577651,1.678650557,34.82348996,0.167426298,1.304952266,0.280136386,1.001441065,0.4927207,0.324871068,0.089493595,0.120713634,1.015911819,1.474977572,0.257694563,0.521458022,0.949613199,0.009048836,10.22383763,-3.858026845,-3.911672098,3.529759853,138.1720017
3,0.69047619,17.92557464,Female,0.937621955,0.521729498,1.257628602,0.797292996,0.628224204,0.201041764,0.83137537,0.602122196,0.765455668,0.201225561,0.799410634,0.787084164,0.411186536,-0.174670306,0.304409368,0.564009925,-0.13905586,-0.506511769,-0.192976305,0.26502035,41129.19543,622.6993451,1.848665656,928.0150723,503.6439591,953.1885689,531.4090897,0.619464148,0.513642197,925945.8945,602.2788965,602.3806504,0.527250735,0.409444724,0.383082758,0.413381506,0.116279804,0.111155725,9376.285714,9371.285714,0.494569443,0.114081302,0.062420451,11.12265223,0.02406926,0.54175656,8.53069392,30.51252786,-0.095547878,0.123203966,1.591449877,81.38875904,98.24125999,0.078775918,24.28946781,0.027587277,0.010845173,0.00030469,0.809387348,24.40085516,33.99899002,10.72085884,0.122665851,0.006364852,1.580064574,7e-05,2.78e-05,0.003535408,37.34684164,0.28735465,0.000176449,0.002927714,0.097798338,0.004904862,5.613881247,7.438386018,1.79155754,2.156700101,143.4630601
4,0.595238095,13.82837992,Female,0.905026064,0.542217966,0.90169658,0.947061023,0.688913431,0.189431512,0.496068573,0.658108688,1.14334585,0.44417303,0.630583832,1.07215254,0.453893475,0.672077473,0.438547401,0.45059808,-0.092695144,0.485218022,0.203656608,-0.028983422,47183.56929,716.0404809,1.401622697,715.4042405,379.815455,684.3900504,385.6422732,0.242026074,0.155277847,553660.9738,605.2514365,553.3544816,0.223472356,0.191144935,0.05127097,0.12499295,0.765054278,0.938085979,5607.130952,5601.130952,0.374799953,0.188343379,0.144184532,0.319157927,0.024092505,0.250828443,0.06092266,9.714488844,-0.112147147,0.036515377,0.063507623,99.01485632,97.47920891,0.013823067,1.073003404,0.035201941,0.327266794,4.11e-05,21.2972925,0.037311745,0.084592445,0.446231898,0.274410435,0.193628295,15.47203916,0.000757431,0.000202695,0.000546145,31.93889458,0.030419909,0.001140858,0.015276688,0.052636454,0.022381932,23.30857037,17.6599224,-3.395108932,1.134760916,119.806452
5,0.886363636,17.67531873,Female,0.749492502,0.702109241,0.805378842,0.87999476,0.594168719,0.459404445,0.474016625,0.609400736,0.707657683,0.557599093,0.570727747,0.755822095,0.630544494,0.136197505,0.154031803,0.547177176,0.34592846,-0.129501631,-0.158058103,0.196008225,19077.17081,98.17130198,10.26494013,778.2750331,485.9762679,802.3277041,494.2531195,0.489219904,0.492041515,848819.4496,603.7039831,596.0232775,0.47491851,0.416056899,0.319405675,0.400076556,0.25790181,0.286317874,8589.284091,8583.284091,0.898504684,0.331987332,0.050604009,12.54282174,0.024728498,0.136681188,11.79004858,15.3887904,-0.523136471,0.627002051,0.195361162,78.98463035,96.25657384,0.123130635,33.89553466,0.382978329,3.825052272,0.13303647,1.457627397,41.09170243,6.61700116,0.557138354,0.048791666,4.128952549,0.328849132,0.575488544,6.978452799,0.229967515,5.640657038,0.488617836,0.04396466,1.344505185,0.083083207,0.019911005,22.78302747,-0.279030636,-5.463291044,1.133436935,148.8813542
7,0.657142857,14.74531807,Female,0.777552426,0.555391451,1.009528756,0.673763635,0.559469461,0.246802398,0.638145727,0.528287102,0.779359552,0.245299481,0.562560027,0.754619676,0.499760722,0.034993869,0.051537915,0.519185201,0.171453096,-0.102319603,-0.260854985,0.258669759,19356.52309,86.11861188,11.69109821,808.6753845,493.0537987,832.1912739,493.5393238,0.262410722,0.294868445,647082.1239,597.0823665,598.7679497,0.389387618,0.33880473,0.276376151,0.352542305,0.40910186,0.37222463,6552.7,6546.7,0.078336947,0.126032995,0.013935139,4.05802964,0.024176751,0.857373669,3.807455722,3.406364917,-1.427319984,0.049592093,5.498058448,92.0538198,98.51668923,5.831932117,27.31380051,0.089033503,0.004217082,0.001375357,4.189469571,6.28246978,36.20157806,0.009183707,0.047841926,0.015280359,1.62e-05,0.000237884,0.000331633,0.005960471,0.049892438,0.039364215,0.008858842,0.011308061,0.007447879,0.030442468,34.89506746,11.53898173,-0.657026097,-0.100284207,131.1557341
9,0.763157895,19.03647086,Female,0.991902844,1.298192257,0.621024412,0.842518187,0.678266276,0.876362458,0.270018673,0.570071863,0.820889932,0.874629647,0.394990653,0.742303625,0.504535318,0.376398637,0.699136076,0.483960538,0.214684079,0.154871556,0.704577193,0.221669185,45150.93438,755.6276477,1.42309935,840.623895,479.8596914,884.4559411,517.0143286,0.235111333,0.360089866,669277.0799,552.0889974,559.9861083,0.442689011,0.463886855,0.333686592,0.507000463,0.254451,0.168628067,6777.368421,6771.368421,0.843106674,0.472618464,0.159663637,55.56942941,0.024288821,0.451559305,60.06671204,65.59217263,-1.516439327,3.839245077,0.288571155,26.1324885,98.037368,0.194511233,86.20085905,0.121283079,0.825491477,3.685971821,1.086422586,67.01736151,26.76798009,11.14601211,7.043094626,3.160970056,0.270442726,0.182671166,0.320559003,0.069624751,15.90142119,0.101807316,0.011227374,1.452814448,0.389025141,0.008494278,10.12028837,0.544200853,1.724663676,-0.596752656,150.650391
12,0.644444444,8.200871327,Female,0.917344869,1.294595673,1.243997928,0.807780168,0.621810282,0.924846422,0.901946484,0.560243219,0.608385586,0.873415576,0.866929282,0.613436827,0.805999401,0.948407363,0.735577804,0.819443179,0.466372329,0.789157283,0.416590125,0.478954986,1255.160592,47.99247676,20.87221736,724.7957276,479.0607484,768.3675603,495.0889496,0.038002964,-0.087330593,664372.6839,474.1922708,464.1412572,0.375523997,0.383694368,0.214955149,0.344462245,0.464172676,0.563431491,6727.5,6721.5,0.339445803,0.337117628,0.26468107,26.10835883,0.024165375,2.302395865,61.25256517,94.61535055,-3.21189883,1.984557505,6.199154909,19.01351607,98.38793505,0.001642894,61.12613229,0.096226484,5.849076583,0.279539161,6.997885718,8.068738391,38.81094408,88.74012465,4.488112152,3.378569812,7.415890564,0.38255994,2.371230049,0.035770904,80.10474508,0.004650182,0.000906153,1.164289164,0.022381966,0.052159551,46.66391495,-0.035512453,0.58673143,2.195132697,136.8740202
15,0.666666667,9.658791195,Female,0.946653011,0.326219215,0.998504148,0.927009912,0.735989287,0.097584991,0.61190394,0.747846971,0.977204851,0.215523428,0.61432175,1.072765149,0.537438809,-0.02098222,-0.092444437,0.877680581,0.194772198,-0.241191735,-0.450115519,0.678773042,18056.56305,199.295245,5.054501133,830.7504268,564.9026761,822.2127015,520.8509777,0.63460262,0.545652443,418539.7057,604.3982938,593.919836,0.495175467,0.375799823,0.33533611,0.357829506,0.187926305,0.249405476,4239.630952,4233.630952,0.293712433,0.257623323,0.035135532,3.406534734,0.024118482,2.740089583,2.926199488,31.62249051,-4.807622017,1.993546446,0.010154126,89.18085451,97.99905861,0.003168244,27.80422841,0.049836602,2.845273839,1.586759458,1.189008105,19.56705002,2.126412723,0.038017484,37.36373958,2.389801193,0.005708262,0.404400576,1.063548972,7.39e-05,0.716305006,0.008192351,0.001837284,0.418773647,0.001397516,0.008889811,9.462903498,4.668120768,2.029227213,1.092311757,136.1676452
18,1.0,16.273294,Female,1.00220704,1.398097221,0.690917974,1.036854758,0.700368909,0.999299808,0.378140169,0.698209351,0.776303342,0.928299472,0.484287739,0.82561441,0.449340688,0.389201611,0.311608577,0.515184372,0.179410125,-0.043151941,0.069784639,0.258889501,19256.80201,90.29960486,11.18199902,440.8082398,296.5022373,472.8778357,310.5923496,-0.999986529,-0.99760257,738147.9227,275.3045085,285.7879037,-0.176296443,-0.251156648,-0.230621121,-0.22406214,1.94386901,1.865855521,7474.767442,7469.767442,1.018072704,1.040538704,0.324009932,14.51919315,0.060959272,0.42472811,13.39859427,17.76398722,-2.383316655,0.560775587,1.130366595,72.62922992,95.41897617,2.869381685,44.75419675,0.347663839,2.310595554,9.137071242,1.543487586,55.18330271,1.563413173,0.230397078,0.401621748,5.471882429,9.10643475,0.720434028,1.774479958,0.481853925,1.534986165,3.32083962,0.122404949,3.072242908,1.859328225,0.013319131,14.26285797,-5.173317543,3.081231943,3.948680891,164.798871
22,0.575757576,22.5555946,Female,0.723589046,0.552530026,1.021807011,0.599869701,0.641823112,0.308552761,0.661775902,0.579247292,0.853899883,0.507753087,0.742743296,0.784951345,0.638418235,0.810239002,0.719754916,0.67180353,0.396789015,0.73058435,0.553407631,0.44208657,17879.33862,73.82571067,13.86883174,844.7113894,478.9742623,861.8161206,491.0548409,0.34090756,0.341794969,635315.5893,605.7145414,615.0418071,0.452540772,0.388021995,0.330218527,0.410733212,0.304805551,0.270576381,6433.681818,6428.681818,0.92619193,0.156667693,0.054733113,44.39123629,0.02620394,0.09528246,50.75165904,44.60976983,-0.227413583,0.112007674,0.933780631,32.93222555,97.24644115,1.221368633,75.99454147,0.219016546,0.168353872,0.303250934,2.730188816,75.35690972,2.739158136,13.17746815,0.113827173,0.748768559,1.423192133,0.043364291,0.198855437,0.26553731,6.609600326,0.496049965,0.02318762,0.353687737,0.806038955,0.020235045,20.1293102,3.665636359,3.745360774,1.704301537,140.98902
